Collection	Sample	Species	Plant_height	Veg_height	Leaf_width	Leaf_length	Sheath_length	Leaf_roll	Leaf_dry	Internode_dist	Culm_diam	Inflor_length	Spikelet_no	Pedicel_length_epu	Glume_length_outer	Glume_length_inner	Spikelet_width	Spikelet_length	Lemma_outer_length	Lemma_inner_length	Striation_no	Lemma_tip	Hair_tuft		
1576	4	E_ramosa_aphylla	320	255	0.72	14.87	55.47	1	1	66.76	1.32	44.92	10	67	72.5	73.5	24	62	53	60	13	1	1		
1585	5	E_ramosa_ramosa	880	650	1.58	6.13	60.61	1	1	121.69	1.8	103.38	38	43	49	48	24	59.5	49	51	0	1	1		
1601	1	E_ramosa_aphylla	710	570	1.8	8.87	44.9	1	1	153.43	1.29	47.17	15	51	62	60.5	15	51	41	48	9	0	1		
1609	2	E_ramosa_aphylla	550	450	0	0	38.76	1	1	122.33	1.1	36.7	11	39	76	77	24	67	57	63	0	1	1		
1622	1	E_ramosa_aphylla	505	375	0.96	7.42	30.02	1	1	120.03	1.3	48.69	12	69	70.5	69.5	21	67	61	63	0	1	1		
1560	2	E_ramosa_ramosa	385	305	1.66	16.83	36.99	1	1	129.08	1.51	39.38	16	64	59	58.5	21.5	62	56	58	0	1	1		
1588	4	E_ramosa_ramosa	840	610	0.1	4.58	53.85	1	1	160.8	3.09	102.26	33	75	79.5	79	29	74.5	69.5	71	2	1	1		
1606	1	E_ramosa_ramosa	365	275	1.35	5.22	30.73	1	1	90.26	1.88	38.67	10	42	58	57	18	52	47	50	0	1	1		
1611	1	E_ramosa_ramosa	720	570	0.89	7.63	67.55	1	1	155.79	2.53	86.55	21	97	62	64.5	26	71	64	67	6	1	1		
1624	1	E_ramosa_ramosa	520	345	1.16	2.22	72.83	1	1	168	2.24	61.61	17	36	67	70.5	22	83.5	72	77	0	1	1		
1626	4	E_ramosa_ramosa	600	330	1.49	10.4	33.94	1	1	116.92	1.29	65.14	19	48	59.5	63	23.5	62.5	58.5	60.5	0	1	1		
1635	2	E_ramosa_ramosa	920	470	0.96	5.74	83.63	1	1	130	2.15	65.01	13	46	72	74	22	75	65	71	0	1	1		
1643	2	E_ramosa_ramosa	810	615	1.74	7.64	75.14	1	1	71.06	2.97	93.88	18	72	78.5	81	27.5	79	72	77	0	0	1		
1645	5	E_ramosa_ramosa	780	485	1.24	24.12	53.49	1	1	121.36	1.65	102.82	19	65	66.5	67	19.5	68	61.5	65	0	0	1		
1654	1	E_ramosa_ramosa	735	575	0.39	3.04	45.89	1	1	109.32	1.53	71.67	17	135	70	66	19	69	58.5	64	0	1	1		
1656	4	E_ramosa_ramosa	630	390	1.1	9.94	52.37	1	1	109.18	1.71	80.44	22	97	63	65.5	21	74.5	68	69.5	18	1	1		
1559	1	E_rupestris_rupestris	280	200	2.02	25.23	12.04	2	0	4.08	0.84	35.49	8	47	24	23	21	51	26	49	0	2	0		
123	1	E_rupestris_rupestris	230	120	3.48	31.21	11.51	2	0	5.64	1.4	31.43	7	37	21	21	17	54	19	52	0	2	0		
1563	1	E_rupestris_rupestris	400	275	2.78	46.01	19.77	2	0	10.96	1.3	38.07	8	32	26	24	18	53	26	52	0	2	0		
2	1	E_rupestris_rupestris	470	395	1.6	22.88	12.35	2	0	22.88	0.76	23.97	5	26	18.5	20	16	51.5	24	49.5	0	2	0		
1605	2	E_rupestris_rupestris	240	170	2.14	32.56	12.66	2	0	3.17	1.24	19.81	5	34	23	24	21	47.5	21	45	0	2	0		
1634	7	E_rupestris_rupestris	270	175	3.16	33.98	18.89	2	0	5.98	1.66	29.31	7	14	16	18.5	18	52	22	50	0	2	0		
1655	1	E_rupestris_rupestris	360	180	1.96	24.3	15.44	2	0	5.69	0.88	26.11	7	22	18	19	15.5	50	23	51	0	2	0		
1565	1	E_rupestris_dodii	170	170	0.59	48.68	12.99	1	0	16.67	0.5	10.8	2	66	13.5	13	12	45	13.5	41	0	2	0		
1573	1	E_rupestris_dodii	350	350	0.88	35.66	10.35	0	0	17.68	0.35	8.53	1	50	16.5	16	10	47.5	14	45	0	2	0		
1578	3	E_rupestris_dodii	210	180	0.76	50.31	12.71	0	0	24.06	0.55	9.94	1	53	15	17	12	49	16	45.5	0	2	0		
1602	2	E_rupestris_dodii	190	130	0.72	55.85	13.2	1	0	15.95	0.58	11.1	1	58	14	14	14	53.5	18	53	0	2	0		
1616	2	E_rupestris_dodii	290	290	0.8	39.2	7.76	1	0	31.08	0.4	9.7	1	51	13	13.5	11	45.5	14.5	44	0	2	0		
1639	6	E_rupestris_dodii	270	220	1.42	44.81	13.71	1	0	31.81	0.41	16.75	3	19.5	17	17	14	52	17.5	51	0	2	0		
1558	1	E_rupestris_tricostata	335	335	0.9	27.78	11.06	1	0	14.55	0.76	12.11	2	66	33	31	14	55	15	53	0	2	0		
1579	3	E_rupestris_tricostata	375	220	2.08	31.93	49.41	1	1	152.5	1.35	37.86	6	12.5	17	24	14	58	19	56.5	0	2	0		
1586	2	E_rupestris_tricostata	520	420	2.12	53.82	16.76	1	0	23.05	1.12	26.52	6	41	28	27	20	51	13	50	0	2	0		
1594	4	E_rupestris_tricostata	470	455	2.6	78.13	32.25	0	1	87.36	1.44	22.61	5	8	21	23	12	50	14.5	49	0	2	0		
1603	2	E_rupestris_tricostata	385	285	1.74	64.69	45.24	1	0	134.67	0.82	36.32	7	9	20	17.5	12	54	17	51	0	2	0		
1618	3	E_rupestris_tricostata	420	405	1.98	59.89	33.85	1	0	47.3	0.93	26.5	6	23	14	12	13.5	46.5	12	45.5	0	2	0	serrated leaves	
1619	1	E_rupestris_tricostata	310	260	1.76	48.04	18.39	1	0	34.43	0.76	22.78	5	36	14.5	15	12	43.5	12	43.5	0	2	0	serrated leaves	
1621	3	E_rupestris_tricostata	365	310	2.22	53.95	14.87	1	0	14.52	0.76	30.65	6	42	17	15.5	13	48	15	46.5	0	2	0	serrated leaves	
1632	3	E_rupestris_tricostata	430	365	1.08	81.55	30.79	1	0	56.3	0.85	29.21	5	42.5	40	38	12.5	64	19.5	62	0	2	0		
1640	2	E_rupestris_tricostata	355	285	1.24	42.28	15.2	1	0	15.64	0.65	24.98	3	29	33	27.5	16.5	61	25	56	0	2	0		
1648	1	E_rupestris_tricostata	295	250	1.47	90.8	21.48	1	0	22.15	0.79	34.73	5	71	21	20	11	61	26	59	0	2	0		
1657	2	E_rupestris_tricostata	320	280	1.34	42.15	10.46	1	0	15.24	0.71	25.05	5	21	24.5	24	18	59	13.5	46	0	2	0		
1661	1	E_rupestris_tricostata	420	310	0.8	4.38	31.09	1	1	121.63	0.94	23.77	5	8	17	17	13	49	12	48.5	0	2	0		
1589	4	E_setacea_disticha	145	145	2.66	20.21	3.99	2	0	3.84	1.09	8.81	2	2	37	36	16	45.5	19	43	0	2	0		
1597	5	E_setacea_disticha	200	190	1.24	18.66	5.91	2	0	5.91	0.74	8.08	2	16	35	34	17	46	18	44	0	2	0		
1598	6	E_setacea_disticha	55	45	1.22	9.76	3.25	2	0	1.77	0.51	5.43	1	25	31	30	16	39	11	38	0	2	0		
1599	5	E_setacea_disticha	120	120	1.7	34.47	11.84	2	0	12.95	0.69	13.09	4	11	44	42.5	14	51	18.5	47	0	2	0		
1572	5	E_setacea_uniflora	530	510	1.06	37.65	12.19	0	0	36.5	0.34	19.23	4	17	55	54	15	45	19	43.5	0	2	0		
1604	2	E_setacea_uniflora	950	920	0.86	54.12	28.1	0	0	89.96	0.52	8.15	2	13	59	54.5	13	45	15	42	0	2	0		
1631	5	E_setacea_scabra	260	175	2.7	35.27	10.41	2	0	7.42	0.86	30.05	8	26	51	54	22	67.5	38	67	0	2	0		
1636	2	E_setacea_scabra	390	300	1.89	57.77	16.39	1	0	9.83	1.18	40.53	9	29	53	53	16.5	63	34	62	0	2	0		
1557	1	E_setacea_setacea	380	335	1.68	30.63	10.22	1	1	10.58	0.95	22.34	5	30	34	31	14.5	46.5	13	43	0	2	0	Knobbled	
1564	2	E_setacea_setacea	350	305	1.92	89.56	23.48	1	0	19.82	1.2	46.31	9	58	56	46	18	63	17	59	0	2	0		
1568	1	E_setacea_setacea	170	130	2.11	46.91	17.27	1	0	5.66	0.93	29.43	6	59	60	54	18	59	17	58	0	2	0		
1569	1	E_setacea_setacea	220	160	2.56	44.16	17.55	1	0	8.4	1.15	44.39	8	71	50	54	13	64	17	62	0	2	0		
1577	5	E_setacea_setacea	380	215	2.28	84.47	20.25	1	0	13.02	1.47	44.9	7	44	61	51	19	57	17	53	0	2	0	Knobbled	
1580	1	E_setacea_setacea	415	315	2.45	69.59	22.13	1	0	19.38	2.22	44.58	9	71	56	41	17	53	16	53	0	2	0		
1582	1	E_setacea_setacea	840	725	2.22	76.51	25.43	1	0	7.67	1.82	44.06	8	31	57.5	47	18.5	57	16	56	0	2	0		
1587	5	E_setacea_setacea	730	650	2.04	35.99	17.7	1	0	12.22	1.06	31.22	7	38	39	33	19	51	16	51	0	2	0		
1593	2	E_setacea_setacea	670	655	2.77	77.45	18.89	1	0	19.45	1.19	24.52	8	14	59	58.5	14	56	21	54.5	0	2	0		
1595	2	E_setacea_setacea	315	240	2.94	47.06	13.59	0	0	15.29	1.18	27.54	6	18	70	71	15	68	21	67	0	2	0		
1600	4	E_setacea_setacea	280	210	2.05	42.52	9.12	0	0	7.4	1.3	27.41	6	28.5	61	64	21	76.5	30.5	76	0	2	0		
1610	5	E_setacea_setacea	440	300	2.76	61.67	22.48	1	0	13.02	1.3	34.18	6	28	28	36	14	54	16	49	0	2	0		
1614	1	E_setacea_setacea	210	95	2.02	44.96	16.4	1	0	9.06	0.77	25.96	5	16	65	48	19	65	22	65	0	2	0		
1629	4	E_setacea_setacea	590	450	1.89	71.21	25.7	1	0	28	1.65	44.23	9	41	56	52	19	58	18	55	0	2	0		
1633	5	E_setacea_setacea	335	275	2.2	46.17	13.94	1	0	8.95	0.9	29.14	6	46	66	51	15	50	15	50	0	2	0		
3	3	E_rehmannii_subspicata	490	360	4.59	77.53	47.07	0	0	46.95	1.05	40.64	9	11.5	69	59	20	68	60	62	8	1	1		16
1590	1	E_rehmannii_subspicata	700	715	3.14	144.03	38.77	0	0	68.33	1.03	22.28	3	39	66	62	21	68	59	62.5	9	1	1		15
1590	3	E_rehmannii_subspicata	1135	1020	4.86	161.16	44.52	0	0	75.19	1.46	85.86	19	62	64	61.5	18	65	58	60.5	10	1	1		20
1659	6	E_rehmannii_subspicata	680	520	4.82	103.83	43.22	0	0	63	0.87	49.74	10	43	79	73.5	17	78	70	73	7	1	1		11
1659	4	E_rehmannii_subspicata	440	320	3.39	96.67	37.52	0	0	113.24	1.09	51.04	12	40	76	70	20	78	70	72.5	8	1	1		13
1660	4	E_rehmannii_subspicata	460	370	1.82	25.67	24.81	1	1	99.29	1.56	34.34	8	17.5	45.5	44.5	13	45	42	42	9	1	1		9
1660	5	E_rehmannii_subspicata	430	350	1.54	29.09	17.93	1	1	89.07	1.26	23.05	6	27	39.5	37.5	16	46	42	44	6	1	1		11
1647	1	E_rehmannii_rehmannii	780	640	3.26	93.14	22.66	0	0	79.51	1.13	48.7	8	44	69	68	16	65.5	59	60	9	0	1		11
1649	1	E_rehmannii_rehmannii	990	620	3.79	83.77	55.22	0	0	165.5	1.84	108.51	30	52	53	51	18	59	52	55.5	0	0	1		10
1649	2	E_rehmannii_rehmannii	760	530	3.22	132	31.78	0	0	67.72	1.04	66.59	20	74	57	55	20.5	59	55.5	58.5	7	0	1		13
1652	2	E_rehmannii_rehmannii	700	620	4.24	119.68	60.85	0	0	88.31	0.91	35.47	7	27	60	57.5	22	70.5	62	67	5	0	1		14
1652	3	E_rehmannii_rehmannii	930	790	5.42	146.69	40.54	0	0	90.52	0.72	71.76	15	61	60.5	62	22	72	61	68	11	0	1		13
1653	1	E_rehmannii_rehmannii	645	565	3.26	101	45.96	0	0	102.47	1.37	53.63	12	68	69	70	21	78.5	71	75.5	7	1	1		21
1653	2	E_rehmannii_rehmannii	640	445	3.22	82.71	53.28	0	0	113.79	1.18	56.5	13	70	72.5	74	21	79.5	72	76.5	6	1	1		18
1567	3	E_rehmannii_filiformis	295	290	0.9	15.02	10.8	1	0	29.4	0.56	7.25	1	15	37	37	14	43	33	39	20	0	1		5
1567	2	E_rehmannii_filiformis	685	675	1.41	52.44	31.71	1	1	121.22	1.01	9.99	1	47	71.5	68	14	58	46.5	52	21	0	1		5
1571	2	E_rehmannii_filiformis	600	595	0.74	14.99	10.51	1	1	77.67	0.52	6.92	1	39	56.5	56	14	55	44	50	16	0	1		
1571	1	E_rehmannii_filiformis	345	325	0.86	18.85	20.07	1	1	56.04	0.52	7.1	1	30	50	47	13	51	39	46	12	0	1		
1589	2	E_setacea_disticha	190	165	2.14	24.66	4.63	2	0	4.6	1.2	15.84	5	9	48	47	14	48	24	45	0	2	0		
1583	1	E_rehmannii_filiformis	385	370	0.68	11.52	16.51	1	1	76.78	0.54	9.9	1	26	51	47	15	46	34	42	12	0	1		
1583	3	E_rehmannii_filiformis	345	325	1	13.1	8.96	1	1	54.35	0.73	8.96	1	18	41	40	13	42.5	35.5	40.5	10	0	1		
1	2	E_rehmannii_filiformis	650	545	2.74	63.59	37.39	1	0	81.35	0.89	48.06	7	56	78	74	19	64	60	60	17	0	1		
1	5	E_rehmannii_filiformis	625	545	1.64	75.42	29.58	1	0	70.26	1.04	40.39	7	49	69.5	68	15.5	62	60	57	17	0	1		
4	3	E_rehmannii_filiformis	545	455	1.58	24.39	26.4	1	0	66.05	0.89	40.75	10	23	65	61.5	15	59	49	52	7	1	1		
4	2	E_rehmannii_filiformis	570	535	2.14	53.33	20.87	1	1	52.65	1.02	25.37	5	28	56.5	57	14	50	47	49	7	1	1		
1591	2	E_rehmannii_filiformis	465	415	2.32	42.71	29.86	0	0	51.72	0.77	16.09	4	36	51	50	14	51.5	39	48.5	11	0	1		
1591	6	E_rehmannii_filiformis	550	485	1.64	26.4	18.53	1	1	64.48	0.67	10.38	3	18	55	54.5	16	55	45	51	11	0	1		
1592	1	E_rehmannii_filiformis	455	400	0.94	21.7	12.13	1	0	42.62	0.22	9.17	2	19	44	42	14	47	41	44	8	0	1		
1592	2	E_rehmannii_filiformis	450	415	1.22	29.68	19.23	1	0	34.69	0.48	8.15	1	40	52	54	15	50	44	46	5	0	1		
1615	3	E_rehmannii_filiformis	240	210	0.56	14.94	12.12	1	1	52.34	0.69	12.08	2	40	56	55.5	15	56	47	52	19	0	1		
1615	6	E_rehmannii_filiformis	470	445	0.84	17.47	11.02	1	0	66.14	0.6	9.05	1	31	53	54	15.5	54	46	51	15	0	1		
1658	1	E_rehmannii_filiformis	420	405	1.3	32.28	20.1	1	1	71.95	0.91	9.42	1	37	55	52.5	17	58	51.5	55	11	1	1		
1658	5	E_rehmannii_filiformis	365	305	1.66	24.53	18.85	1	1	69.39	0.71	13.04	2	46	57	55	16	59	52.5	56	15	1	1		
1566	1	E_ramosa_aphylla	610	450	1.34	6.93	45.67	1	1	100.37	2.29	76.09	12	65	94	95	25	74	66	71.5	17	1	1		
1566	4	E_ramosa_aphylla	405	245	1.02	4.16	46.46	1	1	110.49	1.46	66.19	18	49	68	70	18	61	57	59	0	1	1		
1570	5	E_ramosa_aphylla	530	390	1.36	16.07	57.19	1	1	141.68	1.12	47.68	9	42	83	84	16.5	67	61	62	22	1	1		
1570	6	E_ramosa_aphylla	460	330	0.92	7.48	48.42	1	1	111.22	1.56	40.11	9	43	91	85	18	67	62	64.5	20	1	1		
1576	6	E_ramosa_aphylla	355	250	0.67	6.31	48.49	1	1	118.8	1.57	38.3	7	56.5	78.5	77.5	18	64	53	59	20	1	1		
1576	5	E_ramosa_aphylla	420	240	1.32	22.42	59.55	1	1	113.91	1.64	59.63	12	90	81	83	25	66	58	62	0	1	1		
1601	2	E_ramosa_aphylla	550	480	1.28	22.65	36.02	1	1	114.83	1.49	36.99	12	37.5	64	63	15	52	43	50	0	1	1		
1601	3	E_ramosa_aphylla	880	630	0.9	26.15	58.54	1	1	129.5	1.6	80.2	25	86	69.5	74	16	57.5	50.5	53	0	1	1		
1609	1	E_ramosa_aphylla	540	450	0.83	11.83	44.57	1	1	93.59	1.61	44.11	10	37	60	59	20	59	51	54	0	1	1		
1609	3	E_ramosa_aphylla	520	465	0.86	16.55	43.34	1	1	177	1.47	38.05	10	17	68	67	23	66	62	56	0	1	1		
1622	2	E_ramosa_aphylla	440	340	0.52	7.41	49.84	1	1	133.01	0.49	49.63	14	62	63	64	24	60	54	58	0	1	1		
1622	4	E_ramosa_aphylla	595	410	1.26	10.07	31.75	1	1	92.28	1.45	71.95	23	81	67.5	69	19	67	59	64	0	1	1		
1560	1	E_ramosa_ramosa	565	430	0.77	8.33	42.92	1	1	158	1.54	43.68	13	37	59.5	62	16	58	51	55	0	1	1		
1560	6	E_ramosa_ramosa	395	340	1.46	9.6	40.98	1	1	94.49	1.88	41.23	17	20	51	51	20	57	49	51	0	1	1		
1588	5	E_ramosa_ramosa	630	535	1.33	8.63	65.08	1	1	104.03	2.74	108.93	33	44	62	66	22	68	58	64	0	1	1		
1588	3	E_ramosa_ramosa	715	635	1.16	7.23	67.78	1	1	102.7	3.19	89.34	24	42	64	67	22	69	59	66	0	1	1		
1585	6	E_ramosa_ramosa	775	660	1	6.88	40.63	1	1	132.21	2.67	50.61	15	40	51	51	19	61	55.5	58	0	1	1		
1585	3	E_ramosa_ramosa	1210	1060	0.49	5.34	42.64	1	1	234	2.45	85.51	26	71	64	63.5	17	62.5	52	59	0	1	1	seeds	
1606	2	E_ramosa_ramosa	525	440	0.93	5.07	53.76	1	1	100.25	1.73	45.79	13	50	62	62	17	63	55	59	0	1	1		
1606	3	E_ramosa_ramosa	550	435	1.76	5.91	33.99	1	1	91.23	1.95	46.1	18	48	51	52	20	54.5	47	54	0	1	1		
1611	3	E_ramosa_ramosa	850	705	0.79	6.94	66.76	1	1	113.68	2.55	67.52	19	46	61	63.5	23	66	58	63	0	1	1		
1611	2	E_ramosa_ramosa	920	755	1.26	6.31	72.49	1	1	97.45	2.24	90.52	27	75	62.5	65	23	71	63	69	0	1	1		
1624	2	E_ramosa_ramosa	490	300	0.75	2.54	79.22	1	1	182.5	1.93	63.27	17	85	67.5	71	24	82	74	80	0	1	1		
1624	3	E_ramosa_ramosa	510	315	2.24	3.48	73.88	1	1	178	2.1	54.89	15	49	70	71	22	86	74	81	0	1	1		
1626	3	E_ramosa_ramosa	680	370	0.81	3.54	87.17	1	1	141.97	2.37	71.92	19	72	60	64	20	68	60	65	0	1	1		
1626	6	E_ramosa_ramosa	690	510	1.46	17.35	36.66	1	1	57.8	2	67.95	15	95	66	66	20	69	60	65	0	1	1		
1635	6	E_ramosa_ramosa	940	700	0.94	7.21	98.72	1	1	102.76	2.62	62.06	10	64	69.5	65	23	70	61	65	0	1	1		
1635	3	E_ramosa_ramosa	530	355	1.15	9.25	73.2	1	1	99.6	2.26	113.96	22	96	77	76	18	81	64.5	70	0	0	1		
1643	3	E_ramosa_ramosa	680	530	1.76	9.71	66.98	1	1	105.52	2.8	83.97	14	41	63	62.5	18	69	61	65	0	1	1		
1643	6	E_ramosa_ramosa	590	350	1.31	6.5	42.91	1	1	117.3	2.42	60.36	10	80	63	65	22	74	60.5	65	0	1	1		
1645	6	E_ramosa_ramosa	540	380	1.32	11.92	43.42	1	1	93.97	1.84	72.56	16	39	62	63.5	18	66	58	62	0	1	1		
1645	1	E_ramosa_ramosa	735	485	1.68	24.75	68.23	1	1	129.26	2.27	87.52	19	66.5	67	70	17	75	63	69	0	1	1		
1654	6	E_ramosa_ramosa	560	390	0.85	4.44	48.28	1	1	104.14	2.06	77.62	24	41	65	62	20	72	65	68	0	1	1		
1654	4	E_ramosa_ramosa	450	300	0.87	3.85	47.2	1	1	83.95	1.58	46.76	7	36.5	78	77	18	70	58	65	0	1	1		
1656	3	E_ramosa_ramosa	445	330	1.01	3.05	38.18	1	1	78.5	2.76	60.72	13	51	62	60	19	67	58	62.5	0	0	1		
1656	5	E_ramosa_ramosa	700	485	1.1	2.99	42.14	1	1	101.44	2.3	46.86	18	51	64	68.5	16	62	51.5	58	0	0	1		
123	2	E_rupestris_rupestris	240	165	2.72	34.54	16.03	2	0	3.94	1.18	27.81	8	25	22	22	17	46	22.5	44	0	2	0		
2	2	E_rupestris_rupestris	310	250	0.98	9.11	8.55	2	0	2.35	0.84	25.88	6	34	15	17	13	50	24.5	50	0	2	0		
1559	2	E_rupestris_rupestris	310	200	2.5	30.67	14.71	2	0	4.63	1.09	29.18	6	28.5	27	28.5	14	52	23	52	0	2	0		
1559	3	E_rupestris_rupestris	220	145	2.79	30.29	15.57	2	0	4.47	1.13	29.5	6	44	19	21	18	54	26	54	0	2	0		
1605	1	E_rupestris_rupestris	325	210	3.42	36.67	13.64	2	0	6.08	1.14	30.62	6	29.5	22.5	24	15	49	20	48	0	2	0		
1605	3	E_rupestris_rupestris	295	200	2.48	36.89	14.63	2	0	6.31	1.41	24.47	5	33	23	24	20	47	25	46	0	2	0		
1634	1	E_rupestris_rupestris	415	375	2.62	40.49	15.97	2	0	3.6	1.32	23.39	5	26	19	18	19	48.5	18	47.5	0	2	0		
1634	2	E_rupestris_rupestris	385	275	3.16	25.79	12.59	2	0	3.5	0.95	25.42	5	23	18	21	16	52	26	52	0	2	0		
1655	2	E_rupestris_rupestris	290	185	2.38	23.38	11.92	2	0	4.67	0.85	30.23	6	41	19	20.5	16.5	55	28	54	0	2	0		
1655	1	E_rupestris_rupestris	300	210	1.44	18.67	9.86	2	0	6.28	0.62	30.23	5	41	18	20	15	54.5	27.5	54.5	0	2	0		
1565	2	E_rupestris_dodii	260	255	1.02	61.1	11.11	1	0	37.19	0.54	13.44	3	16	12	11	12	43	14	42.5	0	2	0		
1565	4	E_rupestris_dodii	230	230	1.24	74.29	18.78	1	0	26.88	0.46	11.48	3	18	15	13	11	43.5	14	43	0	2	0		
1578	6	E_rupestris_dodii	250	220	0.86	48.71	13.66	1	0	22.98	0.67	11.2	2	21	14	14.5	13	46	16.5	43	0	2	0		
1578	2	E_rupestris_dodii	245	245	1.1	61.86	12.15	1	0	23.92	0.43	10.34	2	27	16	17	9	44	14	42	0	2	0		
1602	1	E_rupestris_dodii	240	220	0.75	66.86	5.78	1	0	19.13	0.27	10.22	1	44	17	17.5	12	54	12	54	0	2	0		
1602	3	E_rupestris_dodii	255	195	0.72	44.02	6.75	1	0	13.06	0.43	11.11	1	43.5	16	15	13	52	20	52	0	2	0		
1616	1	E_rupestris_dodii	210	190	0.61	42.19	8.99	1	0	6.65	0.38	10.45	2	8	12	13	10	42	13	40	0	2	0		
1616	4	E_rupestris_dodii	135	130	1.18	48.25	8.32	1	0	10.92	0.28	8.95	2	15	14	14	11	43	14	41	0	2	0		
1639	3	E_rupestris_dodii	580	530	1.38	76.4	25.11	1	0	46.93	0.52	15.72	2	21	11	14	12	46.5	14	46	0	2	0		
1639	4	E_rupestris_dodii	530	450	1.12	32.24	22.6	1	0	56.85	0.58	15.94	2	71	19	18	13	53	16	51.5	0	2	0		
1558	3	E_rupestris_tricostata	330	335	0.94	25.46	11.91	1	0	17.47	0.85	16.88	3	26	38.5	37	16.5	57.5	17	56	0	2	0		
1558	6	E_rupestris_tricostata	320	305	0.9	20.01	6.83	1	0	7.08	1.15	15.42	3	29	32.5	30	15	53	14.5	50	0	2	0		
1579	2	E_rupestris_tricostata	410	230	2.42	38.26	46.09	1	1	160.5	1.32	35.1	6	28	22	36	13	57	16	56	0	2	0		
1579	1	E_rupestris_tricostata	400	300	2.22	44.36	46.37	1	1	188.5	0.97	37.28	6	9.5	26	28	11	71	26	69	0	2	0		
1586	3	E_rupestris_tricostata	570	510	1.8	46.35	14.73	1	0	22.75	1	28.27	5	44	34	33	16	50.5	15	49	0	2	0		
1586	5	E_rupestris_tricostata	430	365	2.38	55.51	20.73	1	0	31.22	0.86	31.65	6	64	33	30	17	56	19	54	0	2	0		
1594	1	E_rupestris_tricostata	440	350	1.98	60.61	26.38	1	1	93.98	1.18	32.54	7	9	18.5	19	13	51.5	14.5	51	0	2	0		
1594	6	E_rupestris_tricostata	570	455	1.37	10.91	45.95	1	1	177.8	1.16	43.36	7	10	20	19	13	54	11	53	0	2	0		
1603	3	E_rupestris_tricostata	430	225	1.13	14.85	52.06	1	0	131.28	1.1	45.27	9	5	18	17	11.5	49.5	15	48	0	2	0		
1603	1	E_rupestris_tricostata	340	230	1.48	26.28	45.93	1	0	102.54	0.86	33.76	6	8	18	18	14	53	19	49	0	2	0		
